Issuer,Future Predictions
EDST,"[6099.99988118207, 6099.999881461845, 6099.999881794443, 6099.999882073782, 6099.999882262724, 6099.99988236223, 6099.999882389384, 6099.9998823651695, 6099.999882310542, 6099.999882241478, 6099.999882169912, 6099.999882103031, 6099.99988204526, 6099.999881998578, 6099.999881962314, 6099.99988193647, 6099.999881918717, 6099.9998819077155, 6099.999881901807, 6099.999881899857, 6099.999881899741, 6099.99988190108, 6099.999881902739, 6099.999881904514, 6099.999881906289, 6099.99988190725, 6099.99988190789, 6099.999881907919, 6099.99988190693, 6099.999881905678]"
DIMI,"[124605.7653784752, 123525.81968307497, 122055.35969734193, 120389.32169675828, 118668.65324974062, 116992.78583526613, 115427.01166868211, 114009.86052751543, 112759.98733043672, 111681.42677545549, 110768.49216222765, 110008.92055034639, 109386.95437908174, 108885.16502380373, 108485.99678277971, 108172.65006303789, 107929.7548890114, 107743.73942613603, 107602.79821157457, 107497.05735445024, 107418.3203816414, 107359.99199151994, 107316.77306890489, 107284.65433120729, 107260.40166616441, 107241.77216291429, 107226.9930958748, 107214.83817100526, 107204.44326400758, 107195.31912803651]"
ELMA,"[3764.6579146385193, 3764.6204233169556, 3764.404237270355, 3764.0804648399353, 3763.704478740692, 3763.3150219917297, 3762.938916683197, 3762.592911720276, 3762.2867226600647, 3762.024164199829, 3761.805474758148, 3761.6283893585205, 3761.4890336990356, 3761.382579803467, 3761.3043785095215, 3761.249363422394, 3761.21324300766, 3761.1919045448303, 3761.182188987732, 3761.180877685547, 3761.185944080353, 3761.1953616142273, 3761.2077593803406, 3761.2220644950867, 3761.237144470215, 3761.2523436546326, 3761.26766204834, 3761.282205581665, 3761.2960934638977, 3761.309504508972]"
ELNC,"[314999.9999259146, 314999.9999255995, 314999.9999252269, 314999.99992489914, 314999.9999246473, 314999.9999244715, 314999.9999243603, 314999.9999243004, 314999.9999242791, 314999.999924286, 314999.9999243128, 314999.9999243533, 314999.9999244027, 314999.99992445734, 314999.9999245143, 314999.9999245716, 314999.9999246278, 314999.9999246816, 314999.9999247321, 314999.9999247792, 314999.99992482224, 314999.9999248613, 314999.9999248961, 314999.9999249272, 314999.99992495455, 314999.9999249784, 314999.9999249991, 314999.999925017, 314999.99992503214, 314999.9999250451]"
ENER,"[119999.99990881284, 119999.99990856904, 119999.99990828108, 119999.99990803565, 119999.99990786053, 119999.99990775509, 119999.99990770702, 119999.99990770007, 119999.99990771982, 119999.99990775393, 119999.99990779307, 119999.99990783066, 119999.99990786269, 119999.99990788689, 119999.99990790241, 119999.99990790879, 119999.9999079073, 119999.99990789886, 119999.99990788469, 119999.9999078662, 119999.99990784469, 119999.99990782118, 119999.99990779697, 119999.99990777262, 119999.9999077491, 119999.99990772673, 119999.99990770587, 119999.99990768675, 119999.99990766938, 119999.99990765398]"
EUHA,"[174.2613986134529, 178.94461378455162, 184.90154296159744, 190.3851181268692, 194.55496966838837, 197.16650247573853, 198.3264908194542, 198.31323623657227, 197.45774567127228, 196.07312232255936, 194.419763982296, 192.6940307021141, 191.03068113327026, 189.51214849948883, 188.18054348230362, 187.0488077402115, 186.11111864447594, 185.3502318263054, 184.7434937953949, 184.2665746808052, 183.89620631933212, 183.6114227771759, 183.39400738477707, 183.2290068268776, 183.10406059026718, 183.00961330533028, 182.93818831443787, 182.88391828536987, 182.84252285957336, 182.8107386827469]"
EUMK,"[1002074.4222998619, 1001987.3717427254, 1001943.2534277439, 1001924.3960678577, 1001923.9168465137, 1001936.7479979992, 1001959.2055082321, 1001988.5039031506, 1002022.4986672401, 1002059.4226717949, 1002097.8801846504, 1002136.7150843143, 1002175.0468015671, 1002212.234377861, 1002247.6907670498, 1002281.0745239258, 1002312.1819794178, 1002340.917289257, 1002367.1786189079, 1002391.0318613052, 1002412.536919117, 1002431.8315684795, 1002449.0236341953, 1002464.2928242683, 1002477.7709245682, 1002489.6256625652, 1002500.0607073307, 1002509.1479420662, 1002517.0970261097, 1002524.0097939968]"
EVRO,"[301457.196867466, 301493.8299417496, 301538.8803243637, 301595.4827129841, 301660.09793281555, 301729.11009788513, 301799.3043124676, 301868.08285713196, 301933.56630802155, 301994.4714963436, 302050.0661790371, 302100.01910328865, 302144.32329535484, 302183.13566446304, 302216.8258190155, 302245.7877755165, 302270.4992353916, 302291.4239525795, 302309.0431153774, 302323.7856090069, 302336.04544997215, 302346.1887598038, 302354.5467913151, 302361.3984942436, 302366.9914364815, 302371.54529094696, 302375.2309143543, 302378.20870280266, 302380.5972099304, 302382.5045287609]"
FAKM,"[604936.3136798145, 605062.5447362663, 605180.6907087566, 605290.9036397935, 605388.1124645473, 605468.0689364673, 605528.7338972093, 605570.0179100038, 605593.3519631625, 605601.4191597701, 605597.1619695426, 605583.719623089, 605563.9451533557, 605540.3964519502, 605515.0679588319, 605489.5427048207, 605464.9565368892, 605442.1591043473, 605421.5170979501, 605403.3346027137, 605387.6652806998, 605374.437582493, 605363.481578231, 605354.5647323133, 605347.5081712009, 605342.0346409084, 605337.9384368659, 605335.0138545037, 605333.0104708673, 605331.8120181562]"
FERS,"[5740569.817653298, 5740575.598870218, 5743131.022427231, 5741205.500157177, 5739668.073492497, 5738667.922965437, 5738320.170199871, 5738422.221246362, 5738713.669986278, 5738984.2560738325, 5739095.355981588, 5738982.999287546, 5738636.000593752, 5738079.7469832, 5737358.603011817, 5736525.479382277, 5735630.270510167, 5734718.472059071, 5733825.651080906, 5732979.079838097, 5732198.741232604, 5731493.80980432, 5730870.946520567, 5730329.900024086, 5729868.156742305, 5729479.809779674, 5729158.826562017, 5728896.660942584, 5728686.274918169, 5728519.876413792]"
FKTL,"[62000.000239177345, 62000.0002393575, 62000.00023947866, 62000.0002394926, 62000.00023942397, 62000.00023931656, 62000.00023920898, 62000.000239127636, 62000.00023908663, 62000.000239090004, 62000.00023913478, 62000.00023921425, 62000.00023931982, 62000.000239442656, 62000.0002395749, 62000.00023970968, 62000.000239842106, 62000.00023996811, 62000.000240085035, 62000.00024019182, 62000.0002402876, 62000.00024037241, 62000.00024044681, 62000.000240511436, 62000.000240567184, 62000.000240615045, 62000.000240655936, 62000.000240690904, 62000.000240720634, 62000.000240745925]"
FROT,"[11974.041033070534, 11963.678286410868, 11955.230365041643, 11950.793169438839, 11950.652771396562, 11954.188798321411, 11960.436098044738, 11968.400727491826, 11977.214139304124, 11986.190949799493, 11994.834994839039, 12002.818906315952, 12009.95424768189, 12016.159348539077, 12021.429432788864, 12025.812049163505, 12029.386622365564, 12032.248874893412, 12034.499677829444, 12036.237868247554, 12037.554958369583, 12038.532251026481, 12039.24053395167, 12039.739332161844, 12040.077749406919, 12040.295833256096, 12040.425041224808, 12040.490395855159, 12040.510829770938, 12040.50083225593]"
FUBT,"[125428.5879164934, 125498.25442433356, 125450.50750672816, 125330.22649884222, 125170.20013034342, 124996.7901200056, 124828.62382531165, 124677.39105820654, 124549.16097819804, 124445.966181159, 124367.19593405722, 124310.51704585551, 124272.87585139273, 124250.83697736262, 124241.16067588328, 124240.80282449721, 124247.18212187289, 124258.08943212031, 124271.81661128996, 124286.99905276297, 124302.61091589926, 124317.90786981581, 124332.41277933119, 124345.8250492811, 124357.92996883391, 124368.65596771239, 124378.04121673106, 124386.1477434635, 124393.02803277968, 124398.83476793765]"
GALE,"[129504.81176376343, 129231.65559768677, 129039.18921947479, 128947.11792469025, 128936.41591072083, 128981.64749145508, 129060.66119670868, 129156.4017534256, 129257.07995891571, 129355.2553653717, 129446.69246673584, 129529.27350997925, 129602.40960121155, 129666.36121273041, 129721.79651260376, 129769.6441411972, 129810.83273887634, 129846.27962112427, 129876.788854599, 129903.14185619354, 129925.89354515076, 129945.61016559601, 129962.71073818207, 129977.6029586792, 129990.5812740326, 130001.92880630493, 130011.83807849884, 130020.54691314697, 130028.1685590744, 130034.87288951874]"
GDKM,"[123371.71772122383, 123371.51901721954, 123370.70744037628, 123369.72362399101, 123368.6773955822, 123367.59786605835, 123366.49495959282, 123365.37815928459, 123364.26268219948, 123363.1696999073, 123362.1186196804, 123361.12664341927, 123360.20942926407, 123359.37425494194, 123358.6270749569, 123357.96766877174, 123357.39361047745, 123356.89982771873, 123356.47970438004, 123356.1264038086, 123355.83132505417, 123355.58851361275, 123355.38958907127, 123355.227714777, 123355.09737730026, 123354.99328374863, 123354.910582304, 123354.8459649086, 123354.79457974434, 123354.7551035881]"
GECK,"[42385.44903695583, 42340.13845026493, 42304.597184062004, 42275.36043524742, 42251.55870616436, 42232.78670012951, 42218.613624572754, 42208.477690815926, 42201.74326002598, 42197.73864746094, 42195.82645595074, 42195.44665515423, 42196.11130654812, 42197.44236767292, 42199.14707541466, 42200.99860429764, 42250.23555755615, 42289.05612230301, 42320.79058885574, 42345.81699967384, 42365.41190743446, 42345.52951157093, 42361.71939969063, 42379.817962646484, 42393.00988614559, 42399.494633078575, 42399.795308709145, 42395.36254107952, 42387.79993355274, 42378.54140996933]"
GECT,"[46494.71887946129, 46544.59112882614, 46827.64223217964, 47298.12783002853, 47896.99962735175, 48566.71929359435, 49258.65420699119, 49935.7906281948, 50572.6314485073, 51153.77587080001, 51671.82114720344, 52125.23490190505, 52516.45576953887, 52850.32179951667, 53132.921874523156, 53370.77909708022, 53610.943287611, 53807.10840225219, 53944.97320055961, 54030.49910068511, 54070.51596045493, 54024.24353361129, 54012.3963356018, 53994.47146058082, 53971.05860710143, 53940.80048799514, 53905.00396490096, 53865.81072211265, 53825.369447469704, 53785.510867834084]"
GIMS,"[730413.239389658, 730884.1024115682, 731469.979763031, 732016.8112143874, 732465.9549146891, 732806.6718131304, 733050.3357499838, 733216.2062376738, 733324.1966217756, 733391.6049152613, 733432.0917874575, 733455.7281732559, 733469.5284962654, 733478.1203716993, 733484.4047874212, 733490.0448918343, 733495.9166944027, 733502.3820251226, 733509.5107108355, 733517.2075331211, 733525.3074467182, 733533.6263626814, 733541.9833660126, 733550.229281187, 733558.2339763641, 733565.8927112818, 733573.148354888, 733579.9437761307, 733586.2472355366, 733592.052385211]"
GRDN,"[30999.999919685913, 30999.999919893628, 30999.99991991275, 30999.99991986649, 30999.99991980649, 30999.99991975163, 30999.999919705282, 30999.99991966736, 30999.999919635666, 30999.99991960847, 30999.999919584967, 30999.999624188058, 30999.999513148738, 30999.99929441273, 30999.999159749423, 30999.99915663182, 30999.999264862214, 30999.999441804423, 30999.999645080767, 30999.99984190082, 31000.000011202486, 31000.000142387536, 31000.00023280336, 31000.000285088317, 31000.000304891204, 31000.000299145875, 31000.000274885446, 31000.00023851423, 31000.00019543314, 31000.000149908956]"
GRSN,"[60495.291978120804, 60264.87922668457, 59953.973203897476, 59607.948035001755, 59254.60857152939, 58910.51521897316, 58584.33482050896, 58279.60950136185, 57996.993362903595, 57735.52742600441, 57493.665128946304, 57269.63263750076, 57061.82795763016, 56868.873596191406, 56689.65536355972, 56523.28357100487, 56369.12351846695, 56226.57930850983, 56095.23242712021, 55974.62832927704, 55864.41779136658, 55764.185070991516, 55673.48116636276, 55591.85153245926, 55518.82776618004, 55453.88326048851, 55396.47755026817, 55346.04799747467, 55302.059680223465, 55263.944417238235]"
GRNT,"[115338.15050125122, 115501.57021284103, 115698.35279583931, 114734.42143797874, 114897.98910021782, 113994.05173063278, 113213.87507915497, 112579.79147434235, 112116.65662527084, 111821.0430085659, 112496.59389257431, 113287.24216222763, 114048.99073839188, 113793.23338270187, 114353.8183927536, 114836.17860674858, 115219.50230002403, 115465.41271805763, 114659.27894711494, 114792.23726391792, 114920.7817196846, 115051.8824338913, 115145.35436630249, 115189.3285870552, 115176.11988186836, 115100.13078451157, 114032.85589814186, 114056.57731890678, 114128.25940847397, 114233.22217464447]"
GRZD,"[94900.93186032027, 94585.17528604716, 94157.56767615676, 93718.90323236585, 93323.89284856617, 92996.70974723995, 92742.58811026812, 92556.17316812277, 92427.14874446392, 92343.75294297934, 92294.75270956755, 92270.41821926832, 92262.85945624113, 92265.99667221308, 92275.35456418991, 92287.78138756752, 92301.16225779057, 92314.16489928961, 92326.01542025805, 92336.33171766996, 92344.99368816614, 92352.03813761473, 92357.59679228067, 92361.85126006603, 92364.99331891537, 92367.21377819777, 92368.68843436241, 92369.57129091024, 92369.99794840813, 92370.07785588503]"
GTC,"[179499.85280632973, 179498.8961815834, 179498.11786413193, 179497.4128305912, 179496.75473570824, 179496.12879753113, 179495.52744627, 179494.9485063553, 179494.39334869385, 179493.86531114578, 179493.36802959442, 179492.9050207138, 179492.4782216549, 179492.08852648735, 179491.73578619957, 179491.41857028008, 179491.13497138023, 179490.88245630264, 179490.65858125687, 179490.46048521996, 179490.2856349945, 179490.1311993599, 179489.99518156052, 179489.8753464222, 179489.7697865963, 179481.94846510887, 179478.44710946083, 179478.65879535675, 179480.02260923386, 179481.92128539085]"
GTRG,"[300000.0001057577, 300000.0001056224, 300000.00010548584, 300000.0001053995, 300000.00010537414, 300000.00010540185, 300000.0001054682, 300000.0001055587, 300000.00010566035, 300000.00010576355, 300000.00010586146, 300000.00010594976, 300000.0001060264, 300000.00010609056, 300000.00010614254, 300000.00010618335, 300000.00010621425, 300000.0001062366, 300000.0001062519, 300000.0001062615, 300000.0001062667, 300000.0001062684, 300000.0001062676, 300000.000106265, 300000.0001062612, 300000.00010625663, 300000.0001062518, 300000.00010624673, 300000.00010624167, 300000.00010623696]"
IJUG,"[239507.61590190232, 237319.33364784345, 235021.02047279477, 233054.85608833842, 231623.3008917421, 230710.7238384895, 230210.94497996382, 229998.722086614, 229963.14760646783, 226987.65493081883, 229402.4976639077, 232899.64264361188, 236174.97251937166, 238754.98442044482, 240573.87964669615, 241737.1020739898, 242400.32624267042, 242713.53004574776, 242799.75718818605, 242751.04196760803, 242631.72967974097, 242484.1777894646, 242334.5217263326, 242197.5953919813, 242080.6690396741, 241986.23458910733, 241913.91721833497, 241861.754928343, 241827.11879555136, 241807.08262380213]"
INB,"[398229.0863990783, 397935.0805282592, 397460.5441093444, 396881.15119934076, 395999.06206130976, 395931.0412406921, 396123.1589317321, 396776.1874198913, 397120.5115318298, 397231.3046455383, 397156.56042098993, 396865.5586242675, 397115.4332160949, 397013.97418975824, 396705.77049255365, 396269.8578834533, 395757.5917243957, 395203.2327651977, 394630.20563125605, 394054.74662780756, 393488.55018615717, 392940.19937515253, 392416.2030220031, 391921.1387634277, 391219.4371223449, 391325.831413269, 391330.90972900385, 391267.93146133417, 391154.4203758239, 391004.2524337768]"
INDI,"[18014.538748725317, 18029.512583930045, 18044.675872847438, 18052.235594997182, 18050.314685842022, 18039.986944105476, 18023.476300900802, 18003.169611035264, 17981.14359623287, 17958.994177682325, 17937.82861866057, 17918.33383431658, 17900.86829420179, 17885.552610456944, 17872.34787940979, 17861.116256564856, 17851.666472107172, 17843.784982524812, 17837.257842719555, 17831.881606206298, 17827.47277673334, 17823.86869750917, 17820.929587818682, 17818.536606803536, 17816.59007500857, 17815.007452107966, 17813.72084133327, 17812.674666009843, 17811.823790706694, 17811.13119777292]"
INEK,"[61237.418465316296, 61030.76219558716, 60733.49017649889, 60437.34759092331, 60176.61510966718, 59959.30488221347, 59782.61391632259, 59640.19398204982, 59525.30030161142, 59431.99586123228, 59355.46964406967, 59291.99617356062, 59238.76315355301, 59193.67711991072, 59155.18719702959, 59122.13623523712, 59093.648716807365, 59069.04425472021, 59047.785736620426, 59029.42780405283, 59013.60232383013, 58999.99123066664, 58988.316021859646, 58978.33116352558, 58969.822861254215, 58962.59341388941, 58956.471495330334, 58951.30645483732, 58946.96373492479, 58943.32442432642]"
INHO,"[400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0, 400500.0]"
INOV,"[77300.00021544284, 77300.00021215384, 77300.00021053526, 77300.00020990144, 77300.00020982717, 77300.00021005709, 77300.00021044993, 77300.000210935, 77300.00021148658, 77300.00021210163, 77300.00021278819, 77300.00021355534, 77300.00021440936, 77300.00021535104, 77300.00021637506, 77300.00021747094, 77300.00021862391, 77300.00021981653, 77300.00022103051, 77300.00022224804, 77300.00022345148, 77300.00022462606, 77300.0002257581, 77300.00022683742, 77300.00022785588, 77300.00022880813, 77300.00022969056, 77300.00023050226, 77300.00023124304, 77300.00023191464]"
INPR,"[62538.449812680476, 62676.854938268654, 62565.468911081545, 62131.88468851148, 61455.93241043388, 60653.80915999412, 59826.81451365351, 59045.73629051446, 58351.645167917006, 57762.63120770454, 57281.211957335465, 56900.61312913894, 56609.27322879433, 56393.83086189627, 56240.93944951891, 56138.22987303137, 56074.81094822287, 56041.403848677866, 56030.279953032725, 56035.16544774174, 56051.072213798754, 56074.07306507229, 56101.18900611996, 56130.193378776305, 56159.460816532366, 56187.85667046904, 56214.63438495993, 56239.33504149317, 56261.723037809126, 56281.72754868864]"
INTP,"[214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0, 214000.0]"
JAKO,"[9094.676635041833, 9095.020154118538, 9095.477642863989, 9095.991919189692, 9096.567085385323, 9097.221233695745, 9097.963098436594, 9098.786065820605, 9099.670595023781, 9100.589545909315, 9101.513494271785, 9102.41481885314, 9103.270348161459, 9104.062572866678, 9104.779888689518, 9105.416171997786, 9105.969870090485, 9106.443125754595, 9106.840692460537, 9107.169067114592, 9107.435762137175, 9107.648642361164, 9107.815504074097, 9107.94375911355, 9108.040169626474, 9108.110819756985, 9108.160962164402, 9108.195120841265, 9108.217069506645, 9108.229884505272]"
